,u,v,j,i,X,Y,Z
45,589.3084,433.1926,0,8,0.0,4.0,5
46,252.41034,434.16592,0,-2,0.0,-1.0,5
47,190.22076,435.3368,0,-4,0.0,-2.0,5
49,129.39633,437.23557,0,-6,0.0,-3.0,5
50,65.23491,438.23254,0,-8,0.0,-4.0,5
53,251.26466,500.34024,-2,-2,-1.0,-1.0,5
54,315.2153,500.04572,-2,0,-1.0,0.0,5
55,381.06918,500.02612,-2,2,-1.0,1.0,5
56,448.87427,500.22354,-2,4,-1.0,2.0,5
57,189.11838,501.343,-2,-4,-1.0,-2.0,5
58,518.85565,501.2013,-2,6,-1.0,3.0,5
59,127.37102,502.48077,-2,-6,-1.0,-3.0,5
60,590.90955,502.93134,-2,8,-1.0,4.0,5
61,63.430897,504.00806,-2,-8,-1.0,-4.0,5
63,188.13878,567.9619,-4,-4,-2.0,-2.0,5
64,251.10625,567.8305,-4,-2,-2.0,-1.0,5
65,315.16788,567.80054,-4,0,-2.0,0.0,5
66,381.14365,568.12305,-4,2,-2.0,1.0,5
67,126.19945,569.0726,-4,-6,-2.0,-3.0,5
68,448.98035,569.00287,-4,4,-2.0,2.0,5
69,62.16237,570.6529,-4,-8,-2.0,-4.0,5
70,519.93896,571.07,-4,6,-2.0,3.0,5
71,592.96857,573.12823,-4,8,-2.0,4.0,5
73,124.35124,636.2229,-6,-6,-3.0,-3.0,5
74,187.90846,635.57825,-6,-4,-3.0,-2.0,5
75,251.10466,635.7369,-6,-2,-3.0,-1.0,5
76,315.90176,635.9492,-6,0,-3.0,0.0,5
77,382.1222,637.0968,-6,2,-3.0,1.0,5
78,450.76523,638.6871,-6,4,-3.0,2.0,5
79,521.99725,641.1831,-6,6,-3.0,3.0,5
80,595.46344,643.7931,-6,8,-3.0,4.0,5
82,187.95534,704.6905,-8,-4,-4.0,-2.0,5
83,252.31407,704.75037,-8,-2,-4.0,-1.0,5
84,317.0445,705.1819,-8,0,-4.0,0.0,5
85,123.16135,705.5832,-8,-6,-4.0,-3.0,5
86,384.2074,707.1803,-8,2,-4.0,1.0,5
87,454.14163,710.21564,-8,4,-4.0,2.0,5
88,526.6341,714.00336,-8,6,-4.0,3.0,5
90,187.22052,775.1649,-10,-4,-5.0,-2.0,5
91,252.76547,775.02405,-10,-2,-5.0,-1.0,5
92,121.35125,776.06085,-10,-6,-5.0,-3.0,5
93,319.03284,776.11896,-10,0,-5.0,0.0,5
94,387.13834,778.83356,-10,2,-5.0,1.0,5
95,457.77682,782.7432,-10,4,-5.0,2.0,5
96,530.3675,786.59436,-10,6,-5.0,3.0,5
