,u,v,j,i,X,Y,Z
82,593.9396,764.6954,-6,8,-3.0,4.0,4
83,658.3226,764.7877,-6,10,-3.0,5.0,4
84,467.70004,766.97754,-6,4,-3.0,2.0,4
85,403.6191,768.73535,-6,2,-3.0,1.0,4
86,337.7137,769.87476,-6,0,-3.0,0.0,4
87,270.0689,771.1474,-6,-2,-3.0,-1.0,4
88,201.81352,771.8967,-6,-4,-3.0,-2.0,4
90,130.85712,772.6183,-6,-6,-3.0,-3.0,4
91,528.91327,831.14606,-8,6,-4.0,3.0,4
92,400.50458,833.156,-8,2,-4.0,1.0,4
93,465.01892,832.78253,-8,4,-4.0,2.0,4
94,334.9939,835.2722,-8,0,-4.0,0.0,4
95,268.20648,836.8455,-8,-2,-4.0,-1.0,4
96,199.20192,838.865,-8,-4,-4.0,-2.0,4
99,463.6658,899.94775,-10,4,-5.0,2.0,4
100,398.07016,901.01874,-10,2,-5.0,1.0,4
101,332.19507,902.80334,-10,0,-5.0,0.0,4
102,264.93353,904.7525,-10,-2,-5.0,-1.0,4
0,247.79535,142.48703,12,-2,6.0,-1.0,5
1,318.9178,146.8143,12,0,6.0,0.0,5
2,388.02335,150.00189,12,2,6.0,1.0,5
3,455.7476,151.9017,12,4,6.0,2.0,5
4,522.16974,151.84175,12,6,6.0,3.0,5
5,180.83359,212.72691,10,-4,5.0,-2.0,5
6,252.82668,216.72672,10,-2,5.0,-1.0,5
7,322.7001,220.17926,10,0,5.0,0.0,5
8,390.6825,222.01393,10,2,5.0,1.0,5
9,456.708,223.00029,10,4,5.0,2.0,5
10,586.8801,223.07329,10,8,5.0,4.0,5
11,521.9719,224.15913,10,6,5.0,3.0,5
13,184.0954,284.1356,8,-4,4.0,-2.0,5
14,256.93118,287.93213,8,-2,4.0,-1.0,5
15,325.9691,290.04205,8,0,4.0,0.0,5
16,393.20007,291.99707,8,2,4.0,1.0,5
17,458.87708,293.24155,8,4,4.0,2.0,5
18,651.6065,292.98782,8,10,4.0,5.0,5
19,522.9637,293.9933,8,6,4.0,3.0,5
20,587.413,294.11896,8,8,4.0,4.0,5
22,114.80828,352.5326,6,-6,3.0,-3.0,5
23,188.7322,355.68286,6,-4,3.0,-2.0,5
24,258.98953,357.25546,6,-2,3.0,-1.0,5
25,327.97675,359.05078,6,0,3.0,0.0,5
26,394.9397,360.2426,6,2,3.0,1.0,5
27,460.07977,361.26654,6,4,3.0,2.0,5
28,587.73376,361.22797,6,8,3.0,4.0,5
29,651.0861,361.21863,6,10,3.0,5.0,5
30,524.67676,362.02954,6,6,3.0,3.0,5
32,117.03845,423.16003,4,-6,2.0,-3.0,5
33,189.91873,425.03992,4,-4,2.0,-2.0,5
34,260.9432,426.71487,4,-2,2.0,-1.0,5
35,329.7728,427.91824,4,0,2.0,0.0,5
36,715.0385,427.87894,4,12,2.0,6.0,5
37,396.74506,428.87292,4,2,2.0,1.0,5
38,461.7084,429.14487,4,4,2.0,2.0,5
39,588.03546,428.40262,4,8,2.0,4.0,5
40,650.9987,428.86005,4,10,2.0,5.0,5
41,524.889,429.64923,4,6,2.0,3.0,5
43,118.91397,493.21448,2,-6,1.0,-3.0,5
